title,year,journal,citation_count,study_type,location,sample_size,research_category
Exposure to Toxic Chemical Elements among People Living with HIV/AIDS in Northern Tanzania,2024,Environmental Research,8,Cross-sectional,Tanzania,245.0,Environmental Health
Hypertension among adolescents in sub-Saharan Africa: a systematic review,2023,Frontiers in Cardiovascular Medicine,12,Systematic Review,Sub-Saharan Africa,,Cardiovascular Disease
A social worker intervention to reduce post-hospital mortality in HIV-infected adults in Tanzania,2022,Contemporary Clinical Trials,28,RCT,Tanzania,500.0,HIV Treatment
The validity of an area-based method to estimate the size of hard-to-reach populations using satellite images,2018,PLOS ONE,34,Methods,Lake Victoria,,Methods
"HIV Infection among Young People in Northwest Tanzania: The Role of Biological, Behavioural and Socio-Demographic Risk Factors",2013,PLOS ONE,67,Cross-sectional,Tanzania,13735.0,HIV Epidemiology
Deciphering the Complex Distribution of HIV-1 Subtypes among Different Cohorts in Northern Tanzania,2013,PLOS ONE,45,Cross-sectional,Tanzania,140.0,HIV Virology
Preexposure Prophylaxis for HIV Infection among African Women,2012,New England Journal of Medicine,312,RCT,Kenya/Tanzania/South Africa,2120.0,HIV Prevention
Alcohol use before sex and HIV risk: situational characteristics of protected and unprotected encounters,2010,Sexually Transmitted Diseases,156,Cohort,Tanzania,608.0,HIV Risk Factors
Place matters: multilevel investigation of HIV distribution in Tanzania,2009,BMC Public Health,89,Cross-sectional,Tanzania,8000.0,HIV Epidemiology
Socioeconomic status and HIV seroprevalence in Tanzania: a counterintuitive relationship,2008,BMC Public Health,78,Cross-sectional,Tanzania,9153.0,HIV Epidemiology
